,name,id,office,position,cars_info,cars_family_info,all_cars_sum,all_cars_sum_uah,all_cars_sum_uah_mln,monthly_salary,monthly_salary_family,all_salary,all_estate,group,car_years,group_car,group_flat,group_years
1,Євграфова Єлизавета Павлівна,vulyk_8_129,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Toyota Land Cruiser Prado;;,BMW 735;;,42312.0,507744.0,0.51,22008.0,2571.0,24579.0,273.0,суди,1.7,low,superlow,superlow
3,Євдокимов Сергій Володимирович,vulyk_60_93,Міністерство внутрішніх справ,начальник управління боротьби з незаконним обігом наркотиків гумвс україни в запорізький області,;;;,BMW X5;;;,43511.0,522132.0,0.52,7297.0,0.0,7297.0,109.0,МВС,6.0,low,superlow,medium
10,Євсіков Олексій Олександрович,vulyk_8_29,Вищий господарський суд,суддя вищого господарського суду україни,Volkswagen Touareg;Volkswagen Touareg;,;;,81496.0,977952.0,0.98,20273.0,39984.0,60257.0,289.0,суди,1.4,medium,superlow,superlow
15,Єгоров Сергій Олександрович,vulyk_15_152,Міністерство внутрішніх справ,начальник відділу карного розшуку умвс україни на одеській залізниці,Toyota Corolla;Lexus RX330;Toyota Avensis,Lexus RX330;Toyota Corolla;;,55771.0,669252.0,0.67,5906.0,0.0,5906.0,205.0,МВС,9.4,low,superlow,high
17,Єлфімов Олександр Васильович,vulyk_8_170,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Toyota Land Cruiser Prado 150;;,;;,42312.0,507744.0,0.51,22256.0,0.0,22256.0,44.0,суди,1.9,low,superlow,superlow
18,Єльцов Віктор Олександрович,vulyk_35_40,Загальний апеляційний суд,суддя апеляційного суду черкаської області,ВАЗ 21013;Opel Vectra;,;;;;,53065.0,636780.0,0.64,20413.0,2989.0,23402.0,78.0,суди,2.3,low,superlow,superlow
22,Ємець Анатолій Анатолійович,vulyk_56_188,Верховний суд,суддя верховного суду україни,Volkswagen Touareg;;,Kia Sportage;;,58614.0,703368.0,0.7,26309.0,1976.0,28285.0,515.0,суди,2.1,medium,low,superlow
32,Єрмоленко Дмитро Дмитрович,vulyk_2_219,Прокуратура,заступник прокурора овідіопольського району одеської області,;;,BMW X5;Infiniti FX35;,87716.0,1052592.0,1.05,9572.0,0.0,9572.0,93.0,суди,9.2,high,superlow,high
37,Єфремов Сергій Миколайович,vulyk_13_13,Міністерство внутрішніх справ,заступник начальника широківського районного управління гумвс україни – начальник мгб,Honda Accord;SsangYong Korando;ГАЗ 3302 Газель;,Honda Accord;;;,57836.0,694032.0,0.69,6556.0,2007.0,8563.0,319.0,МВС,6.8,low,superlow,medium
38,Єфтемій Станіслав Миколайович,vulyk_33_169,Загальний місцевий суд,голова герцаївського районного суду чернівецької області,Mercedes-Benz E 220;;;,Peugeot Partner;Mercedes-Benz E 220;;,45930.0,551160.0,0.55,18544.0,3871.0,22415.0,285.0,суди,2.0,low,superlow,superlow
50,Іваненко Сергій Анатолійович,vulyk_26_81,Адміністративний місцевий суд,суддя полтавського окружного адміністративного суду,BMW 523i;Daihatsu Terios;,BMW 523i;;;,57127.0,685524.0,0.69,0.0,533.0,533.0,239.0,суди,107.2,low,superlow,high
52,Іваненко Юлія Геннадіївна,vulyk_8_134,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,BMW 4281;;,;;,45158.0,541896.0,0.54,22052.0,0.0,22052.0,138.0,суди,2.0,low,superlow,superlow
62,Іванов Дмитро Іванович,vulyk_14_97,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника гу дфс в одеській області,Mercedes-Benz GL 550;;;,Lexus LX 470;Mercedes-Benz S 550;;,91698.0,1100376.0,1.1,3466.0,1820.0,5286.0,420.0,митники,17.3,high,superlow,high
64,Іванов Сергій Володимирович,vulyk_10_136,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник митного поста одеса-порт одеської митниці дфс,Volkswagen Multivan;;,Hyundai Tiburon;;;;,47499.0,569988.0,0.57,6030.0,5876.0,11906.0,703.0,митники,4.0,low,medium,low
100,Ігнатенко Сергій Петрович,vulyk_29_169,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника дпі у іршавському районі гу міндоходів у закарпатській області,Audi A6;Kia Ceed;;,;,16624.0,199488.0,0.2,4173.0,2346.0,6519.0,642.0,митники,2.6,superlow,low,superlow
172,Алєксєєва Наталія Юнівна,vulyk_26_64,Адміністративний місцевий суд,суддя полтавського окружного адміністративного суду,ВАЗ 21093;Mitsubishi ASX;,Ford Kuga;Toyota Highlander;;,82688.0,992256.0,0.99,14608.0,145417.0,160025.0,532.0,суди,0.5,medium,low,superlow
